entry_time,exit_time,direction,entry_price,exit_price,contracts,pnl,result,capital_after
2021-05-06,2021-06-17,LONG,1815.5,1779.5294600045936,1,-35.97,SL,2964.03
2021-06-17,2021-07-06,SHORT,1773.800048828125,1793.5,1,-19.7,TRAIL,2944.33
2021-08-06,2021-08-23,SHORT,1760.0,1795.4851030736306,1,-35.49,SL,2908.84
2021-09-03,2021-09-07,LONG,1830.9000244140625,1796.5097013396569,1,-34.39,SL,2874.45
2021-09-16,2021-10-13,SHORT,1754.5999755859375,1791.7888432391387,1,-37.19,SL,2837.27
2021-10-14,2021-10-18,LONG,1796.699951171875,1759.74466482726,1,-36.96,SL,2800.31
2021-11-05,2021-11-22,LONG,1816.4000244140625,1806.0,1,-10.4,TRAIL,2789.91
2021-12-02,2021-12-16,SHORT,1760.699951171875,1796.5999755859375,1,-35.9,TRAIL,2754.01
2021-12-31,2022-01-06,LONG,1827.5,1794.3103994602884,1,-33.19,SL,2720.82
2022-01-19,2022-01-27,LONG,1843.0999755859375,1809.697866618627,1,-33.4,SL,2687.42
2022-02-14,2022-03-16,LONG,1868.0,1908.0,1,40.0,TRAIL,2727.42
2022-04-12,2022-04-25,LONG,1972.0999755859375,1919.8509296689997,1,-52.25,SL,2675.17
2022-04-25,2022-05-24,SHORT,1893.199951171875,1865.0999755859375,1,28.1,TRAIL,2703.27
2022-06-30,2022-07-28,SHORT,1804.0999755859375,1750.300048828125,1,53.8,TRAIL,2757.07
2022-08-04,2022-08-18,LONG,1788.5,1755.300048828125,1,-33.2,TRAIL,2723.87
2022-08-30,2022-10-03,SHORT,1723.199951171875,1692.9000244140625,1,30.3,TRAIL,2754.17
2022-11-08,2023-02-03,LONG,1712.0999755859375,1862.9000244140625,1,150.8,TRAIL,2904.97
2023-02-13,2023-03-03,SHORT,1851.9000244140625,1847.699951171875,1,4.2,TRAIL,2909.17
2023-03-13,2023-05-16,LONG,1911.699951171875,1988.4000244140625,1,76.7,TRAIL,2985.87
2023-05-18,2023-07-12,SHORT,1956.5,1956.199951171875,1,0.3,TRAIL,2986.17
2023-07-18,2023-07-27,LONG,1977.199951171875,1945.4000244140625,1,-31.8,TRAIL,2954.37
2023-08-09,2023-08-29,SHORT,1915.4000244140625,1936.5,1,-21.1,TRAIL,2933.27
2023-09-26,2023-10-13,SHORT,1900.4000244140625,1924.6712698254607,2,-48.54,SL,2884.73
2023-10-18,2023-11-07,LONG,1955.300048828125,1966.800048828125,1,11.5,TRAIL,2896.23
2023-11-27,2023-12-11,LONG,2011.800048828125,1981.1476197779673,1,-30.65,SL,2865.57
2024-01-17,2024-01-30,SHORT,2002.5999755859375,2044.7268120712788,1,-42.13,SL,2823.45
2024-02-13,2024-02-22,SHORT,1992.9000244140625,2031.3304736031068,1,-38.43,SL,2785.02
2024-03-01,2024-04-30,LONG,2086.89990234375,2291.39990234375,1,204.5,TRAIL,2989.52
2024-05-17,2024-05-23,LONG,2412.199951171875,2354.9423804315975,1,-57.26,SL,2932.26
2024-06-07,2024-07-03,SHORT,2305.199951171875,2359.800048828125,1,-54.6,TRAIL,2877.66
2024-07-05,2024-07-25,LONG,2388.5,2351.89990234375,1,-36.6,TRAIL,2841.06
2024-08-16,2024-10-08,LONG,2498.60009765625,2615.0,1,116.4,TRAIL,2957.46
2024-10-16,2024-11-06,LONG,2674.0,2667.60009765625,1,-6.4,TRAIL,2951.06
2024-11-11,2024-11-21,SHORT,2611.199951171875,2667.329573065388,1,-56.13,SL,2894.93
2024-12-11,2024-12-13,LONG,2733.800048828125,2671.5728694670956,1,-62.23,SL,2832.7
2025-01-16,2025-02-28,LONG,2746.39990234375,2836.800048828125,1,90.4,TRAIL,2923.1
2025-03-13,2025-04-07,LONG,2984.300048828125,2951.300048828125,1,-33.0,TRAIL,2890.1
2025-04-11,2025-05-01,LONG,3222.199951171875,3210.0,1,-12.2,TRAIL,2877.9
2025-05-14,2025-05-22,SHORT,3181.39990234375,3319.7490684434633,1,-138.35,SL,2739.55
2025-06-13,2025-06-24,LONG,3431.199951171875,3309.041633119773,1,-122.16,SL,2617.4
2025-07-21,2025-07-28,LONG,3401.89990234375,3316.0199665805617,1,-85.88,SL,2531.52
2025-09-02,2025-10-27,LONG,3549.39990234375,4001.89990234375,1,452.5,TRAIL,2984.02
2025-12-01,2026-03-16,LONG,4239.2998046875,4994.0,1,754.7,TRAIL,3738.72
