entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,contracts,pnl,result,capital_after
2022-01-07,2022-01-10,LONG,439.68280029296875,430.8891442871094,430.8891442871094,,1,-8.7937,SL,2991.21
2022-01-18,2022-01-20,LONG,430.6266784667969,422.01414489746094,422.01414489746094,,1,-8.6125,SL,2982.59
2023-02-21,2023-03-02,LONG,382.58648681640625,381.3594665527344,374.9347570800781,,1,-1.227,EXIT,2981.37
2023-03-09,2023-03-13,LONG,375.3678894042969,367.86053161621095,367.86053161621095,,1,-7.5074,SL,2973.86
2023-04-25,2023-04-27,LONG,390.7732238769531,396.8646240234375,382.95775939941404,,1,6.0914,EXIT,2979.95
2023-05-04,2023-05-05,LONG,389.8590393066406,397.0762634277344,382.0618585205078,,1,7.2172,EXIT,2987.17
2023-05-24,2023-05-26,LONG,395.5943908691406,404.1877136230469,387.6825030517578,,1,8.5933,EXIT,2995.76
2023-08-03,2023-08-14,LONG,433.5257873535156,432.82073974609375,424.8552716064453,,1,-0.705,EXIT,2995.06
2023-08-16,2023-08-21,LONG,424.6397399902344,424.3499450683594,416.1469451904297,,1,-0.2898,EXIT,2994.77
2023-09-07,2023-09-11,LONG,429.6719970703125,433.14910888671875,421.07855712890625,,1,3.4771,EXIT,2998.24
2023-09-20,2023-09-25,LONG,425.16827392578125,416.66490844726565,416.66490844726565,,1,-8.5034,SL,2989.74
2023-10-03,2023-10-06,LONG,408.64190673828125,416.3478088378906,400.4690686035156,,1,7.7059,EXIT,2997.45
2023-10-19,2023-10-23,LONG,413.3332824707031,405.0666168212891,405.0666168212891,,1,-8.2667,SL,2989.18
2024-01-03,2024-01-08,LONG,456.2346496582031,461.8890075683594,447.1099566650391,,1,5.6544,EXIT,2994.83
2024-01-17,2024-01-18,LONG,459.640869140625,463.72833251953125,450.4480517578125,,1,4.0875,EXIT,2998.92
2024-04-04,2024-04-09,LONG,500.88006591796875,506.9815979003906,490.8624645996094,,1,6.1015,EXIT,3005.02
2024-04-15,2024-04-19,LONG,492.46490478515625,482.6156066894531,482.6156066894531,,1,-9.8493,SL,2995.17
2024-05-30,2024-06-03,LONG,510.193359375,515.2601928710938,499.9894921875,,1,5.0668,EXIT,3000.24
2024-07-19,2024-07-25,LONG,537.6757202148438,526.9222058105469,526.9222058105469,,1,-10.7535,SL,2989.49
2024-08-05,2024-08-08,LONG,506.71722412109375,519.713623046875,496.58287963867184,,1,12.9964,EXIT,3002.48
2024-09-06,2024-09-10,LONG,529.2235717773438,537.4799194335938,518.6391003417968,,1,8.2563,EXIT,3010.74
2024-10-23,2024-10-28,LONG,567.8143920898438,570.6043701171875,556.4581042480469,,1,2.79,EXIT,3013.53
2024-10-31,2024-11-05,LONG,558.62890625,566.5470581054688,547.456328125,,1,7.9182,EXIT,3021.45
2024-11-15,2024-11-21,LONG,575.437744140625,583.2183227539062,563.9289892578125,,1,7.7806,EXIT,3029.23
2024-12-18,2024-12-23,LONG,575.9584350585938,586.1866455078125,564.4392663574218,,1,10.2282,EXIT,3039.46
2024-12-31,2025-01-03,LONG,577.6997680664062,583.4857788085938,566.1457727050781,,1,5.786,EXIT,3045.24
2025-02-21,2025-02-27,LONG,591.3616333007812,579.5344006347656,579.5344006347656,,1,-11.8272,SL,3033.42
2025-05-21,2025-05-27,LONG,576.2540283203125,584.4501342773438,564.7289477539063,,1,8.1961,EXIT,3041.61
2025-07-31,2025-08-01,LONG,626.763671875,614.2283984375,614.2283984375,,1,-12.5353,SL,3029.08
2025-08-19,2025-08-22,LONG,634.4286499023438,639.8824462890625,621.7400769042969,,1,5.4538,EXIT,3034.53
2025-10-10,2025-10-15,LONG,649.32275390625,661.4039916992188,636.336298828125,,1,12.0812,EXIT,3046.61
2025-11-17,2025-11-20,LONG,661.901123046875,648.6631005859375,648.6631005859375,,1,-13.238,SL,3033.37
2025-12-17,2025-12-19,LONG,667.5986938476562,678.7363891601562,654.2467199707031,,1,11.1377,EXIT,3044.51
2025-12-31,2026-01-05,LONG,680.062744140625,685.846923828125,666.4614892578124,,1,5.7842,EXIT,3050.3
2026-01-20,2026-01-22,LONG,675.7345581054688,687.103515625,662.2198669433593,,1,11.369,EXIT,3061.66
2026-02-05,2026-02-06,LONG,675.7744750976562,688.739013671875,662.2589855957032,,1,12.9645,EXIT,3074.63
2026-02-12,2026-02-18,LONG,679.41455078125,684.4208374023438,665.826259765625,,1,5.0063,EXIT,3079.63
2026-03-03,2026-03-09,LONG,678.4771118164062,664.9075695800781,664.9075695800781,,1,-13.5695,SL,3066.07
2026-03-12,2026-03-17,LONG,664.2459106445312,668.9630126953125,650.9609924316406,,1,4.7171,EXIT,3070.78
